no,name_of_member,state,party,term_start,term_end,vacation_date_reason,vacation_date,vacation_reason,party_normalized
49,Goray Shri N G,Maharashtra,Socialist,4/3/1970,4/2/1976,Retirement,4/2/1976,Retirement,
79,Gupta Shri Ram Lakhan Prasad,Bihar,BJP,4/10/1978,4/9/1984,Retirement,4/9/1984,Retirement,
80,Gupta Shri Shyamlal,Bihar,JAN,4/10/1972,4/9/1978,Retirement,4/9/1978,Retirement,
26,Hegde Shri Ramakrishna,Karnataka,JP,4/10/1978,4/9/1984,23/05/1983 Resignation,5/23/1983,Resignation,Janata Dal
8,Jagbir Singh Shri,Uttar Pradesh,JLD,4/3/1974,4/2/1980,Retirement,4/2/1980,Retirement,Lok Dal
30,Jamuna Devi Smt.,Madhya Pradesh,JAN,4/10/1978,4/2/1980,Retirement,4/2/1980,Retirement,
44,Jha Shri Shiva Chandra,Bihar,JAN,4/10/1978,4/9/1984,Retirement,4/9/1984,Retirement,
55,Joshi Shri Jagannathrao,National Capital Territory of Delhi,BJP,4/3/1978,4/2/1984,Retirement,4/2/1984,Retirement,
7,Kakati Shri Robin,Assam,JAN,4/10/1978,4/9/1984,Retirement,4/9/1984,Retirement,
3,Lahane Shri Motiram Udaybhanji,Maharashtra,JP,12/14/1978,4/2/1980,Retirement,4/2/1980,Retirement,Janata Party
5,Lakhan Singh Shri,Uttar Pradesh,BJP,4/3/1978,4/2/1984,Retirement,4/2/1984,Retirement,
16,Mahavir Dr. Bhai,Madhya Pradesh,BJP,4/10/1978,4/9/1984,Retirement,4/9/1984,Retirement,
35,Majhi Shri Dhaneswar,Odisha,JAN,4/3/1978,4/2/1984,Retirement,4/2/1984,Retirement,
66,Mandal Shri Bhupendra Narayan,Bihar,SSP,4/10/1972,4/9/1978,30/05/1975 Death,5/30/1975,Death,B.L.D.
94,Mathur Shri Jagdish Prasad,Uttar Pradesh,BJP,4/3/1978,4/2/1984,Retirement,4/2/1984,Retirement,
137,Mishra Shri Kalraj,Uttar Pradesh,JP,4/3/1978,4/2/1984,Retirement,4/2/1984,Retirement,Bhartiya Janata Party
150,Misra Shri Lokanath,Odisha,JAN,4/3/1972,4/2/1978,Retirement,4/2/1978,Retirement,
165,Mody Shri Piloo,Gujarat,JAN,4/10/1978,4/9/1984,29/01/1983 Death,1/29/1983,Death,
188,Mohinder Kaur Smt.,Himachal Pradesh,BJP,4/10/1978,4/9/1984,Retirement,4/9/1984,Retirement,
201,Morarka Shri Radheshyam R.,Rajasthan,JAN,4/10/1978,4/9/1984,Retirement,4/9/1984,Retirement,
45,Narendra Singh Shri,Uttar Pradesh,JAN,7/14/1977,4/2/1978,Retirement,4/2/1978,Retirement,
45,Narendra Singh Shri,Uttar Pradesh,JAN,4/3/1978,4/2/1984,Retirement,4/2/1984,Retirement,
60,Nigam Shri Ladli Mohan,Madhya Pradesh,JAN,4/10/1978,4/9/1984,Retirement,4/9/1984,Retirement,
68,Nizam-Ud-Din Shri Syed,Jammu & Kashmir,JAN,4/16/1974,4/15/1980,Retirement,4/15/1980,Retirement,
5,Oza Shri Ghanshyambhai,Gujarat,JAN,4/10/1978,4/9/1984,Retirement,4/9/1984,Retirement,
