sr_no,member_name,state,party,term,vacation_reason,from_date,to_date,,
3,Daga Shri Sitaram,West Bengal,Congress,03/05/1957 02/04/1958,Retirement,03/05/57,02/04/58,,
4,Dalmia Shri Sanjay,Uttar Pradesh,SP,03/02/1994 04/07/1998,Retirement,03/02/94,04/07/98,,
5,Dalpat Singh Shri,Rajasthan,Congress,26/08/1964 02/04/1966,Retirement,26/08/64,02/04/66,,
5,Dalpat Singh Shri,Rajasthan,Congress,03/04/1966 02/04/1972,"18/03/1972
Resignation",03/04/66,02/04/72,,
6,Dalwai Shri Husain,Maharashtra,INC,26/07/2011 02/04/2014,Retirement,26/07/11,02/04/14,,
7,Dalwai Shri Husain,Maharashtra,INC,03/04/2014 02/04/2020,Retirement,03/04/14,02/04/20,,
7,Dalwai Shri Husen,Maharashtra,CONG(I),03/04/1984 02/04/1990,28/12/84,03/04/84,02/04/90,,
8,Damodaran Shri Kizhedath,Kerala,CPI,03/04/1964 02/04/1970,Retirement,03/04/64,02/04/70,,
9,Dang Smt. Satyavati,Himachal Pradesh,CONG(I),03/04/1968 02/04/1974,Retirement,03/04/68,02/04/74,,
10,Dangre Shri R.V.,Madhya Pradesh,Congress,03/04/1954 02/04/1960,Retirement,03/04/54,02/04/60,,
11,Daphtary Shri C.K.,Nominated,NOM.,03/04/1972 02/04/1978,Retirement,03/04/72,02/04/78,,
12,Dar Shri Abdul Ghani,Punjab,PIP,23/11/1962 23/02/1967,"23/02/1967
Elected to Lok Sabha",23/11/62,23/02/67,,
13,Darbara Singh Shri,Punjab,CONG(I),10/04/1984 09/04/1990,"11/03/1990
Death",10/04/84,09/04/90,,
14,Darda Shri Vijay Jawaharlal,Maharashtra,IND.,05/07/1998 04/07/2004,Retirement,05/07/98,04/07/04,,
11,Darda Shri Vijay Jawaharlal,Maharashtra,INC,05/07/2004 04/07/2010,Retirement,05/07/04,04/07/10,,
11,Darda Shri Vijay Jawaharlal,Maharashtra,INC,05/07/2010 04/07/2016,Retirement,05/07/10,04/07/16,,
15,Das Shri Banka Behary,Odisha,PSP,03/04/1966 02/04/1972,"04/04/1971
Resignation",03/04/66,02/04/72,,
16,Das Shri Basant Kumar,Odisha,JD,03/04/1990 02/04/1996,Retirement,03/04/90,02/04/96,,
17,Das Shri Bhubanananda,Odisha,Congress,27/04/1957 23/02/1958,"23/02/1958
Death",27/04/57,23/02/58,,
18,Das Shri Bipinpal,Assam,Congress,03/04/1970 02/04/1976,Retirement,03/04/70,02/04/76,,
14,Das Shri Bipinpal,Assam,CONG(I),03/04/1976 02/04/1982,Retirement,03/04/76,02/04/82,,
19,Das Shri Bishnu Charan,Odisha,BJD,02/07/2016 01/07/2022,"21/03/2017
Resignation",02/07/16,01/07/22,,
20,Das Shri Biswanath,Odisha,Congress,03/04/1954 02/04/1960,Retirement,03/04/54,02/04/60,,
17,Das Shri Biswanath,Odisha,Congress,03/04/1960 02/04/1966,"22/06/1961
Resignation",03/04/60,02/04/66,,
21,Das Shri Jagannath,Odisha,INC,03/04/1952 02/04/1956,Retirement,03/04/52,02/04/56,,
22,Das Shri Kalpataru,Odisha,BJD,03/04/2014 02/04/2020,"25/07/2015
Death",03/04/14,02/04/20,,
23,Das Shri Khagen,Tripura,CPI(M),03/04/1998 02/04/2004,"25/02/2002
Elected to Lok Sabha",03/04/98,02/04/04,,
24,Das Shri Kumar Deepak,Assam,AGP,15/06/2007 14/06/2013,Retirement,15/06/07,14/06/13,,
25,Das Mahant Laxmi Narain,Madhya Pradesh,Congress,03/04/1962 02/04/1968,Retirement,03/04/62,02/04/68,,
26,Das Dr. M.N.,Odisha,INC,02/07/1998 01/07/2004,Retirement,02/07/98,01/07/04,,
27,Das Smt. Mira,Odisha,JD,03/04/1990 02/04/1996,Retirement,03/04/90,02/04/96,,
28,Das Smt. Monika,Karnataka,CONG(I),03/04/1980 02/04/1986,Retirement,03/04/80,02/04/86,,
29,Das Shri Nanda Kishore,Odisha,Congress,03/04/1960 02/04/1966,Retirement,03/04/60,02/04/66,,
30,Das Dr.(Ms.) P. Selvie,Nominated,NOM.,27/08/1997 26/08/2003,Retirement,27/08/97,26/08/03,,
31,Das Smt. Pushpalata,Assam,Congress,03/04/1952 02/04/1956,Retirement,03/04/52,02/04/56,,
23,Das Smt. Pushpalata,Assam,Congress,03/04/1956 02/04/1962,Retirement,03/04/56,02/04/62,,
32,Das Ms. Shoila Bala,Odisha,Congress,03/04/1952 02/04/1954,Retirement,03/04/52,02/04/54,,
33,Das Gupta Shri Gurudas,West Bengal,CPI,12/03/1985 02/04/1988,Retirement,12/03/85,02/04/88,,
25,Das Gupta Shri Gurudas,West Bengal,CPI,03/04/1988 02/04/1994,Retirement,03/04/88,02/04/94,,
25,Das Gupta Shri Gurudas,West Bengal,CPI,03/04/1994 02/04/2000,Retirement,03/04/94,02/04/00,,
34,Dasappa Shri H.C.,Karnataka,INC,03/04/1954 02/04/1960,"13/03/1957
Elected to Lok Sabha",03/04/54,02/04/60,,
35,Dasari Shri N.R.,Andhra Pradesh,CPI,03/04/1998 02/04/2004,Retirement,03/04/98,02/04/04,,
36,Dasgupta Dr. Biplab,West Bengal,CPI(M),03/04/1994 02/04/2000,Retirement,03/04/94,02/04/00,,
27,Dasgupta Dr. Biplab,West Bengal,CPI(M),03/04/2000 02/04/2006,"17/07/2005
Death",03/04/00,02/04/06,,
37,Dasgupta Shri Tarit Mohan,Tripura,Congress,03/04/1962 02/04/1968,"02/03/1967
Resignation",03/04/62,02/04/68,,
38,Dass Shri A. Dharam,Uttar Pradesh,Congress,03/04/1952 02/04/1958,Retirement,03/04/52,02/04/58,,
29,Dass Shri A. Dharam,Uttar Pradesh,Congress,03/04/1958 02/04/1964,"27/07/1960
Death",03/04/58,02/04/64,,
39,Dass Shri Mahabir,Bihar,Congress,03/04/1962 02/04/1968,Retirement,03/04/62,02/04/68,,
30,Dass Shri Mahabir,Bihar,Congress,03/04/1968 02/04/1974,Retirement,03/04/68,02/04/74,,
40,Dave Shri Anantray Devshanker,Gujarat,BJP,10/04/1990 09/04/1996,Retirement,10/04/90,09/04/96,,
31,Dave Shri Anantray Devshanker,Gujarat,BJP,10/04/1996 09/04/2002,Retirement,10/04/96,09/04/02,,
41,Dave Shri Anil Madhav,Madhya Pradesh,BJP,04/08/2009 29/06/2010,Retirement,04/08/09,29/06/10,,
32,Dave Shri Anil Madhav,Madhya Pradesh,BJP,30/06/2010 29/06/2016,Retirement,30/06/10,29/06/16,,
32,Dave Shri Anil Madhav,Madhya Pradesh,BJP,30/06/2016 29/06/2022,"18/05/2017
Death",30/06/16,29/06/22,,
42,Dave Shri Rohit Manushankar,Bombay,PSP,03/04/1958 02/04/1964,Retirement,03/04/58,02/04/64,,
43,Dave Shri Somnath P.,Bombay,Congress,03/04/1952 02/04/1958,Retirement,03/04/52,02/04/58,,
35,Dave Shri Somnath P.,Bombay,Congress,03/04/1958 02/04/1964,"05/01/1959
Death",03/04/58,02/04/64,,
44,Deb Shri Pratap Keshari,Odisha,BJD,19/05/2017 01/07/2022,"09/06/2019
Seat declared vacant",19/05/17,01/07/22,,
45,Deb Shri Shankar Pratap Singh,Odisha,Swatantra,03/04/1964 02/04/1970,"03/08/1965
Death",03/04/64,02/04/70,,
46,Deb Shri Suresh Chandra,Assam,Congress,03/05/1957 02/04/1960,Retirement,03/05/57,02/04/60,,
37,Deb Shri Suresh Chandra,Assam,Congress,03/04/1960 02/04/1966,Retirement,03/04/60,02/04/66,,
47,Deb Burman Shri Bir Chandra,Tripura,CPI,03/04/1974 02/04/1980,Retirement,03/04/74,02/04/80,,
48,Deepak Shri Krishan Kumar,Haryana,JD,23/03/1990 01/08/1992,"13/07/1990
Resignation",23/03/90,01/08/92,,
49,Deo Shri A.U. Singh,Odisha,BJD,26/06/2014 03/04/2018,Retirement,26/06/14,03/04/18,,
50,Deo Shri Bira Kesari,Odisha,Swatantra,19/04/1967 02/04/1970,Retirement,19/04/67,02/04/70,,
38,Deo Shri Bira Kesari,Odisha,BLD,03/04/1970 02/04/1976,Retirement,03/04/70,02/04/76,,
51,Deo Shri K.P. Singh,Odisha,Swatantra,28/01/1972 02/04/1976,Retirement,28/01/72,02/04/76,,
52,Deo Shri V. Kishore Chandra S.,Andhra Pradesh,CONG(O),03/04/1994 02/04/2000,Retirement,03/04/94,02/04/00,,
53,Deogirikar Shri T.R.,Bombay,Congress,03/04/1952 02/04/1956,Retirement,03/04/52,02/04/56,,
40,Deogirikar Shri T.R.,Bombay,Congress,03/04/1956 02/04/1962,Retirement,03/04/56,02/04/62,,
54,Deora Shri Murli,Maharashtra,INC,03/04/2002 02/04/2008,Retirement,03/04/02,02/04/08,,
41,Deora Shri Murli,Maharashtra,INC,03/04/2008 02/04/2014,Retirement,03/04/08,02/04/14,,
41,Deora Shri Murli,Maharashtra,INC,03/04/2014 02/04/2020,"24/11/2014
Death",03/04/14,02/04/20,,
55,Deori Smt. Omem Moyong,Arunachal Pradesh,CONG(I),27/05/1984 26/05/1990,"19/03/1990
Resignation",27/05/84,26/05/90,,
56,Desai Shri Dajiba Balwantrao,Maharashtra,PWP,03/04/1960 02/04/1966,Retirement,03/04/60,02/04/66,,
57,Desai Shri Jagesh,Maharashtra,CONG(I),03/04/1984 02/04/1990,Retirement,03/04/84,02/04/90,,
44,Desai Shri Jagesh,Maharashtra,CONG(I),03/04/1990 02/04/1996,Retirement,03/04/90,02/04/96,,
58,Desai Shri Janardhan Rao,Mysore,Congress,03/04/1956 02/04/1962,Retirement,03/04/56,02/04/62,,
59,Desai Shri Khandubhai K.,Bombay,Congress,09/03/1959 02/04/1964,Retirement,09/03/59,02/04/64,,
47,Desai Shri Khandubhai K.,Bombay,Congress,03/04/1964 02/04/1970,"31/03/1968
Resignation",03/04/64,02/04/70,,
60,Desai Shri R.M.,Karnataka,CONG(I),03/04/1976 02/04/1982,Retirement,03/04/76,02/04/82,,
61,Desai Shri Suresh J.,Gujarat,Congress,03/04/1960 02/04/1966,Retirement,03/04/60,02/04/66,,
49,Desai Shri Suresh J.,Gujarat,Congress,03/04/1966 02/04/1972,Retirement,03/04/66,02/04/72,,
62,Deshmukh Shri Bapuraoji Marotraoji,Maharashtra,CONG(I),03/04/1976 02/04/1982,Retirement,03/04/76,02/04/82,,
63,Deshmukh Shri Nana,Nominated,NOM.,22/11/1999 21/11/2005,Retirement,22/11/99,21/11/05,,
64,Deshmukh Shri Narsinghrao Balbhimrao,Bombay,PWP,03/04/1952 02/04/1954,Retirement,03/04/52,02/04/54,,
52,Deshmukh Shri Narsinghrao Balbhimrao,Bombay,PWP,03/04/1954 02/04/1960,Retirement,03/04/54,02/04/60,,
65,Deshmukh Shri Ramrao Madhavrao,Bombay,Congress,03/04/1952 02/04/1958,Retirement,03/04/52,02/04/58,,
54,Deshmukh Shri Ramrao Madhavrao,Bombay,Congress,03/04/1958 02/04/1964,Retirement,03/04/58,02/04/64,,
66,Deshmukh Shri Shankarrao Narayanarao,Maharashtra,CONG(I),03/04/1984 02/04/1990,Retirement,03/04/84,02/04/90,,
67,Deshmukh Shri T.G.,Maharashtra,Congress,03/04/1968 02/04/1974,Retirement,03/04/68,02/04/74,,
68,Deshmukh Shri Vilasrao Dagadojirao,Maharashtra,INC,04/08/2009 02/04/2012,Retirement,04/08/09,02/04/12,,
57,Deshmukh Shri Vilasrao Dagadojirao,Maharashtra,INC,03/04/2012 02/04/2018,"14/08/2012
Death",03/04/12,02/04/18,,
69,Deshmukh Smt. Vimal Punjab,Maharashtra,Congress,19/04/1967 02/04/1972,Retirement,19/04/67,02/04/72,,
70,Deshpande Kumari Nirmala,Nominated,NOM.,27/08/1997 26/08/1999,Death,27/08/97,26/08/99,,
59,Deshpande Kumari Nirmala,Nominated,NOM.,24/06/2004 23/06/2010,"01/05/2008
Death",24/06/04,23/06/10,,
71,Devaki Gopidas Smt.,Kerala,Congress,03/04/1962 02/04/1968,Retirement,03/04/62,02/04/68,,
72,Devi Lal Shri,Haryana,INLD,02/08/1998 01/08/2004,"06/04/2001
Death",02/08/98,01/08/04,,
73,Devi Singh Shri,Rajasthan,Swatantra,03/04/1964 02/04/1970,Retirement,03/04/64,02/04/70,,
74,Dey Shri S. K.,Delhi,INC,31/01/1957 01/03/1962,"01/03/1962
Elected to Lok Sabha",31/01/57,01/03/62,,
75,Dhabe Shri S.W.,Maharashtra,Congress,03/04/1974 02/04/1980,Retirement,03/04/74,02/04/80,,
64,Dhabe Shri S.W.,Maharashtra,CONG (S),05/07/1980 04/07/1986,Retirement,05/07/80,04/07/86,,
76,Dhage Shri Venkat Krishna,Bombay,PDF,03/04/1952 02/04/1956,Retirement,03/04/52,02/04/56,,
64,Dhage Shri Venkat Krishna,Bombay,IND.,03/04/1956 02/04/1960,Retirement,03/04/56,02/04/60,,
77,Dhammaviriyo Ven'ble,Bihar,RJD,29/03/2000 14/11/2000,Reorganisation of the State,29/03/00,14/11/00,,
65,Dhammaviriyo Ven'ble,Jharkhand,RJD,15/11/2000 09/04/2002,"09/04/2002
Retirement",15/11/00,09/04/02,,
78,Dhar Shri D.P.,Jammu & Kashmir,Congress,11/11/1972 07/02/1975,"07/02/1975
Resignation",11/11/72,07/02/75,,
79,Dharam Pal Shri,Jammu & Kashmir,CONG(I),03/04/1988 02/04/1994,"27/11/1989
Elected to Lok Sabha",03/04/88,02/04/94,,
80,Dharam Prakash Dr.,Uttar Pradesh,Congress,09/08/1958 02/04/1962,Retirement,09/08/58,02/04/62,,
66,Dharam Prakash Dr.,Uttar Pradesh,Congress,03/04/1962 02/04/1968,Retirement,03/04/62,02/04/68,,
81,Dharia Shri Mohan Manikchand,Maharashtra,Congress,03/04/1964 02/04/1970,Retirement,03/04/64,02/04/70,,
67,Dharia Shri Mohan Manikchand,Maharashtra,Congress,03/04/1970 02/04/1976,"10/03/1971
Elected to Lok Sabha",03/04/70,02/04/76,,
82,Dharmavir Shri,Uttar Pradesh,CONG(I),05/07/1980 04/07/1986,"22/12/1984
Death",05/07/80,04/07/86,,
83,Dhawan Shri R.K.,Andhra Pradesh,CONG(I),10/04/1990 09/04/1996,Retirement,10/04/90,09/04/96,,
70,Dhawan Shri R.K.,Bihar,INC,08/07/2004 07/07/2010,Retirement,08/07/04,07/07/10,,
84,Dhillon Shri Guraj Singh,Punjab,SAD,03/04/1952 02/04/1958,Retirement,03/04/52,02/04/58,,
85,Dhinakaran Shri T.T.V.,Tamil Nadu,AIADMK,30/06/2004 29/06/2010,Retirement,30/06/04,29/06/10,,
86,Dhoot Shri Rajkumar,Maharashtra,SS,03/04/2002 02/04/2008,Retirement,03/04/02,02/04/08,,
72,Dhoot Shri Rajkumar,Maharashtra,INC,03/04/2008 02/04/2014,Retirement,03/04/08,02/04/14,,
73,Dhoot Shri Rajkumar,Maharashtra,SS,03/04/2014 02/04/2020,Retirement,03/04/14,02/04/20,,
87,Dhulap Shri Krishnarao Narayan,Maharashtra,PWP,03/04/1974 02/04/1980,Retirement,03/04/74,02/04/80,,
88,Dhusiya Shri Sohan Lal,Uttar Pradesh,CONG(I),03/04/1984 02/04/1990,Retirement,03/04/84,02/04/90,,
89,Dhyani Shri Manohar Kant,Uttar Pradesh,BJP,26/11/1996 08/11/2000,Retirement,26/11/96,08/11/00,,
74,Dhyani Shri Manohar Kant, ,BJP,09/11/2000 25/11/2002,Retirement,09/11/00,25/11/02,,
90,Dikshit Shri Jagdish Chandra,Uttar Pradesh,Congress,23/09/1969 02/04/1970,Retirement,23/09/69,02/04/70,,
91,Dikshit Shri Umashankar,Uttar Pradesh,Congress,26/04/1961 02/04/1964,Retirement,26/04/61,02/04/64,,
77,Dikshit Shri Umashankar,Uttar Pradesh,Congress,03/04/1964 02/04/1970,Retirement,03/04/64,02/04/70,,
77,Dikshit Shri Umashankar,Uttar Pradesh,Congress,03/04/1970 02/04/1976,"10/01/1976
Resignation",03/04/70,02/04/76,,
92,Dilip Kumar Shri Yusuf Sarwar Khan alias,Maharashtra,INC,03/04/2000 02/04/2006,Retirement,03/04/00,02/04/06,,
93,Dinesh Shri Singh,Uttar Pradesh,JAN,14/07/1977 02/04/1980,Retirement,14/07/77,02/04/80,,
79,Dinesh Shri Singh,Uttar Pradesh,O,30/06/1980 02/04/1982,Retirement,30/06/80,02/04/82,,
80,Dinesh Shri Singh,Haryana,CONG(I),06/07/1993 01/08/1998,"30/11/1995
Death",06/07/93,01/08/98,,
94,Dinesh Chandra Shri Swami,Rajasthan,CONG(I),03/04/1976 02/04/1982,Retirement,03/04/76,02/04/82,,
95,Dinkar Prof. Ramdhari Sinha,Bihar,Congress,03/04/1952 02/04/1954,Retirement,03/04/52,02/04/54,,
82,Dinkar Prof. Ramdhari Sinha,Bihar,Congress,03/04/1954 02/04/1960,Retirement,03/04/54,02/04/60,,
82,Dinkar Prof. Ramdhari Sinha,Bihar,Congress,03/04/1960 02/04/1964,"26/01/1964
Resignation",03/04/60,02/04/64,,
96,Diwakar Shri R.R.,Maharashtra,Congress,03/04/1952 13/06/1952,"13/06/1952
Resignation",03/04/52,13/06/52,,
83,Diwakar Shri R.R.,Nominated,NOM.,03/04/1962 02/04/1968,"02/04/1968
Retirement",03/04/62,02/04/68,,
97,Doogar Shri Rajpat Singh,West Bengal,Congress,03/04/1952 02/04/1954,Retirement,03/04/52,02/04/54,,
84,Doogar Shri Rajpat Singh,West Bengal,Congress,03/04/1954 02/04/1960,Retirement,03/04/54,02/04/60,,
85,Doogar Shri Rajpat Singh,West Bengal,Congress,03/04/1960 02/04/1966,Retirement,03/04/60,02/04/66,,
86,Doogar Shri Rajpat Singh,West Bengal,IND.,03/04/1966 02/04/1972,Retirement,03/04/66,02/04/72,,
98,Doshi Shri Lalchand Hirachand,Mysore,Congress,03/04/1952 02/04/1958,Retirement,03/04/52,02/04/58,,
99,Dronamraju Shri Satyanarayana,Andhra Pradesh,CONG(I),03/04/1988 02/04/1994,Retirement,03/04/88,02/04/94,,
89,Dronamraju Shri Satyanarayana,Andhra Pradesh,CONG(I),03/04/1994 02/04/2000,Retirement,03/04/94,02/04/00,,
100,Dua Shri H.K.,Nominated,NOM.,18/11/2009 17/11/2015,Retirement,18/11/09,17/11/15,,
101,Dube Shri Baij Nath,Vindhya Pradesh,Socialist,03/04/1952 02/04/1954,Retirement,03/04/52,02/04/54,,
102,Dube Shri Bodh Ram,Odisha,Congress,03/04/1952 02/04/1958,Retirement,03/04/52,02/04/58,,
103,Dube Dr. R.P.,Madhya Pradesh,Congress,03/04/1952 02/04/1960,Retirement,03/04/52,02/04/60,,
104,Dube Pandit Sitacharan,Madhya Pradesh,Congress,03/04/1952 02/04/1954,Retirement,03/04/52,02/04/54,,
105,Dubey Shri Bindeshwari,Bihar,CONG(I),03/04/1988 02/04/1994,"20/01/1993
Death",03/04/88,02/04/94,,
106,Dubey Smt. Saroj,Bihar,RJD,08/07/1998 07/07/2004,Retirement,08/07/98,07/07/04,,
107,Dudi Shri Ram Narain,Rajasthan,BJP,10/04/2014 09/04/2020,Retirement,10/04/14,09/04/20,,
108,Dugal Shri Uttam Singh,Punjab,IND.,03/04/1964 02/04/1970,"20/04/1968
Death",03/04/64,02/04/70,,
109,Duggal Shri Harcharan Singh,Punjab,O,28/03/1969 02/04/1970,Retirement,28/03/69,02/04/70,,
110,Duggal Shri Kartar Singh,Nominated,NOM.,27/08/1997 26/08/2003,Retirement,27/08/97,26/08/03,,
111,Duraisamy Shri V.P.,Tamil Nadu,AIADMK,25/07/1995 24/07/2001,"10/10/1996
Resignation",25/07/95,24/07/01,,
98,Duraisamy Shri V.P.,Tamil Nadu,DMK,26/11/1996 24/07/2001,Retirement,26/11/96,24/07/01,,
112,Durga Smt. N.P.,Andhra Pradesh,TDP,10/04/2002 09/04/2008,Retirement,10/04/02,09/04/08,,
113,Dutt Shri Krishan,Jammu & Kashmir,Congress,11/11/1960 10/11/1966,Retirement,11/11/60,10/11/66,,
114,Dutt Dr. Nalinaksha,West Bengal,Congress,03/04/1952 02/04/1954,Retirement,03/04/52,02/04/54,,
102,Dutt Dr. Nalinaksha,West Bengal,Congress,03/04/1954 02/04/1960,Retirement,03/04/54,02/04/60,,
115,Dutt Smt. Nargis,Nominated,NOM.,03/04/1980 02/04/1986,"03/05/1981
Death",03/04/80,02/04/86,,
116,Dutt Dr. Vidya Prakash,Nominated,NOM.,04/12/1971 02/04/1974,Retirement,04/12/71,02/04/74,,
104,Dutt Dr. Vidya Prakash,Nominated,Congress,03/04/1974 02/04/1980,Retirement,03/04/74,02/04/80,,
117,Dutta Dr. B.B.,Nominated,NOM.,27/08/1993 26/08/1999,Retirement,27/08/93,26/08/99,,
118,Dutta Shri Trilochan,Jammu & Kashmir,Congress,11/11/1954 10/11/1960,Retirement,11/11/54,10/11/60,,
119,Dwibedy Shri Bairagi,Odisha,Swatantra,03/04/1960 02/04/1966,"02/04/1966
Retirement",03/04/60,02/04/66,,
120,Dwivedi Shri Devendra Nath,Uttar Pradesh,Congress,03/04/1974 02/04/1980,Retirement,03/04/74,02/04/80,,
121,Dwivedi Shri Janardan,National Capital Territory of Delhi,INC,10/08/2004 27/01/2006,Retirement,10/08/04,27/01/06,,
108,Dwivedi Shri Janardan,National Capital Territory of Delhi,INC,28/01/2006 27/01/2012,Retirement,28/01/06,27/01/12,,
108,Dwivedi Shri Janardan,National Capital Territory of Delhi,INC,28/01/2012 27/01/2018,Retirement,28/01/12,27/01/18,,
1,Kabir Prof. Humayun,West Bengal,Congress,03/04/1956 02/04/1962,"02/03/1962
Elected to Lok Sabha",03/04/56,02/04/62,,
2,Kadar Shri M.A.,Tamil Nadu,DMK,30/06/1998 29/06/2004,Retirement,30/06/98,29/06/04,,
3,Kadharsha Shri M.,Tamil Nadu,DMK,03/04/1974 02/04/1980,Retirement,03/04/74,02/04/80,,
3,Kadharsha Shri M.,Tamil Nadu,AIADMK,25/07/1983 24/07/1989,Retirement,25/07/83,24/07/89,,
4,Kailashpati Smt.,Uttar Pradesh,CONG(I),28/01/1985 02/04/1988,Retirement,28/01/85,02/04/88,,
5,Kailashpati Smt.,Uttar Pradesh,CONG(I),04/03/1988 02/04/1994,Retirement,04/03/88,02/04/94,,
5,Kaimal Shri Aravindakshan,Kerala,O,17/04/1967 02/04/1968,Retirement,17/04/67,02/04/68,,
6,Kakade Shri Sanjay Dattatraya,Maharashtra,IND.,03/04/2014 02/04/2020,Retirement,03/04/14,02/04/20,,
7,Kakati Shri Robin,Assam,Congress,03/04/1962 02/04/1968,Retirement,03/04/62,02/04/68,,
8,Kakati Shri Robin,Assam,JAN,10/04/1978 09/04/1984,Retirement,10/04/78,09/04/84,,
8,Kakkilaya Shri B.V.,Madras,CPI,03/04/1952 02/04/1954,Retirement,03/04/52,02/04/54,,
9,Kakodkar Shri Purushottam,Nominated,CONG(I),03/01/1985 02/01/1991,Retirement,03/01/85,02/01/91,,
10,Kalaniya Shri Ibrahim,Gujarat,Congress,10/04/1972 09/04/1978,Retirement,10/04/72,09/04/78,,
9,Kalaniya Shri Ibrahim,Gujarat,CONG(I),10/04/1978 09/04/1984,Retirement,10/04/78,09/04/84,,
11,Kaldate Dr. Bapu,Maharashtra,JD,03/04/1984 02/04/1990,Retirement,03/04/84,02/04/90,,
11,Kaldate Dr. Bapu,Maharashtra,JD,03/04/1990 02/04/1996,Retirement,03/04/90,02/04/96,,
12,Kalelkar Kaka Saheb,Nominated,NOM.,03/04/1952 02/04/1958,Retirement,03/04/52,02/04/58,,
11,Kalelkar Kaka Saheb,Nominated,NOM.,03/04/1958 02/04/1964,Retirement,03/04/58,02/04/64,,
13,Kalmadi Shri Suresh,Maharashtra,CONG (S),03/04/1982 02/04/1988,Retirement,03/04/82,02/04/88,,
12,Kalmadi Shri Suresh,Maharashtra,CONG(I),03/04/1988 02/04/1994,Retirement,03/04/88,02/04/94,,
13,Kalmadi Shri Suresh,Maharashtra,CONG(I),03/04/1994 02/04/2000,"10/05/1996
Resignation",03/04/94,02/04/00,,
14,Kalmadi Shri Suresh,Maharashtra,INC,05/07/1998 04/07/2004,"13/05/2004
Elected to Lok Sabha",05/07/98,04/07/04,,
14,Kalvala Shri Prabhakar Rao,Andhra Pradesh,TDP,03/04/1986 02/04/1992,Retirement,03/04/86,02/04/92,,
15,Kalyan Shri Mohinder Singh,Punjab,INC,05/07/1992 04/07/1998,Retirement,05/07/92,04/07/98,,
16,Kalyan Chand Shri,Uttar Pradesh,INC,03/04/1970 02/04/1976,Retirement,03/04/70,02/04/76,,
17,Kalyanasundaram Shri Kanchi,Tamil Nadu,DMK,23/09/1969 02/04/1970,Retirement,23/09/69,02/04/70,,
18,Kalyanasundaram Shri Kanchi,Tamil Nadu,DMK,03/04/1970 02/04/1976,Retirement,03/04/70,02/04/76,,
18,Kalyanasundaram Shri M.,Tamil Nadu,CPI,30/06/1980 29/06/1986,Retirement,30/06/80,29/06/86,,
19,Kamalanathan Shri M.,Tamil Nadu,DMK,29/07/1971 02/04/1972,Retirement,29/07/71,02/04/72,,
19,Kamalanathan Shri M.,Tamil Nadu,DMK,03/04/1972 02/04/1978,Retirement,03/04/72,02/04/78,,
20,Kamalaswamy Shri T.V.,Madras,INC,03/04/1952 02/04/1954,Retirement,03/04/52,02/04/54,,
21,Kamalaswamy Shri T.V.,Madras,INC,03/04/1954 02/04/1960,Retirement,03/04/54,02/04/60,,
21,Kamaraj Shri R.,Tamil Nadu,AIADMK,25/07/2001 24/07/2007,Retirement,25/07/01,24/07/07,,
22,Kamble Prof. N.M.,Maharashtra,INC,03/04/1974 02/04/1980,Retirement,03/04/74,02/04/80,,
22,Kamble Prof. N.M.,Maharashtra,INC,04/08/1980 02/04/1982,Retirement,04/08/80,02/04/82,,
23,Kamble Prof. N.M.,Maharashtra,INC,03/04/1984 02/04/1990,"09/08/1988
Resignation",03/04/84,02/04/90,,
23,Kamta Singh Shri,Bihar,O,03/04/1958 02/04/1964,Retirement,03/04/58,02/04/64,,
24,Kanchhal Shri Banwari Lal,Uttar Pradesh,SP,03/04/2006 02/04/2012,"23/04/2009
Resignation",03/04/06,02/04/12,,
25,Kane Dr. P.V.,Nominated,NOM.,16/11/1953 02/04/1958,Retirement,16/11/53,02/04/58,,
24,Kane Dr. P.V.,Nominated,NOM.,03/04/1958 02/04/1964,"11/09/1959
Resignation",03/04/58,02/04/64,,
26,Kanimozhi Smt.,Tamil Nadu,DMK,25/07/2007 24/07/2013,Retirement,25/07/07,24/07/13,,
25,Kanimozhi Smt.,Tamil Nadu,DMK,25/07/2013 24/07/2019,"23/05/2019
Elected to Lok Sabha",25/07/13,24/07/19,,
27,Kannan Shri P.,Puducherry,INC,07/10/2009 06/10/2015,Retirement,07/10/09,06/10/15,,
28,Kanshi Ram Shri,Uttar Pradesh,BSP,05/07/1998 04/07/2004,Retirement,05/07/98,04/07/04,,
29,Kapoor Shri Giriraj Kishore,Madhya Pradesh,O,03/04/1964 29/08/1985,"29/08/1965
Death",03/04/64,29/08/85,,
30,Kapoor Shri Jaspat Roy,Uttar Pradesh,INC,03/04/1952 02/04/1956,Retirement,03/04/52,02/04/56,,
28,Kapoor Shri Jaspat Roy,Uttar Pradesh,INC,03/04/1956 02/04/1962,Retirement,03/04/56,02/04/62,,
31,Kapoor Shri Prithvi Raj,Nominated,NOM.,03/04/1952 02/04/1954,Retirement,03/04/52,02/04/54,,
29,Kapoor Shri Prithvi Raj,Nominated,NOM.,03/04/1954 02/04/1960,Retirement,03/04/54,02/04/60,,
32,Kapse Prof. Ram,Maharashtra,BJP,27/09/1996 04/07/1998,Retirement,27/09/96,04/07/98,,
33,Kapur Shri H.L.,Nominated,INC,03/01/1985 26/09/1988,"14/11/1985
Resignation",03/01/85,26/09/88,,
