s_no,member_name,state,party,term,vacate_reason
64,Chowdhri Shri A. S.,Andhra Pradesh,CONG(I),03/04/1980 02/04/1986,Retirement
64,Chowdhri Shri A. S.,Andhra Pradesh,CONG(I),03/04/1992 02/04/1998,Retirement
65,Chowdhury Prof. Jogen,West Bengal,AITC,03/04/2014 02/04/2020,Retirement
66,Chowdhury Smt. Renuka,Andhra Pradesh,TDP,03/04/1986 02/04/1992,Retirement
66,Chowdhury Smt. Renuka,Andhra Pradesh,TDP,03/04/1992 02/04/1998,Retirement
66,Chowdhury Smt. Renuka,Andhra Pradesh,INC,03/04/2012 02/04/2018,Retirement
67,Chundawat Smt. Lakshmi Kumari,Rajasthan,CONG(I),10/04/1972 09/04/1978,Retirement
68,Chunni Lal Chaudhary,Uttar Pradesh,BJP,26/11/1996 25/11/2002,"03/12/2000
Death"
69,Condpan Shri Silvius,Assam,INC,03/04/2004 02/04/2010,Retirement
69,Condpan Shri Silvius,Assam,INC,03/04/2010 02/04/2016,"10/10/2011
Death"
1,Cariappa Smt. Prema,Karnataka,INC,10/04/2002 09/04/2008,Retirement
2,Chagla Shri M. C.,Maharashtra,Congress,03/04/1962 02/04/1968,"17/04/1962
Resignation"
2,Chagla Shri M. C.,Maharashtra,Congress,02/03/1964 02/04/1966,Retirement
2,Chagla Shri M. C.,Maharashtra,IND.,03/04/1966 02/04/1972,Retirement
3,Chakrabarti Dr. Rajat Kumar,West Bengal,CONG(I),03/04/1972 02/04/1978,Retirement
4,Chakraborty Shri Amarprosad,West Bengal,FB,03/04/1978 02/04/1984,Retirement
4,Chakraborty Shri Amarprosad,West Bengal,FB,03/04/1984 02/04/1990,"27/10/1985
Death"
5,Chakraborty Shri Mithun,West Bengal,AITC,03/04/2014 02/04/2020,"28/12/2016
Resignation"
6,Chakraborty Shri Shyamal,West Bengal,CPI(M),03/04/2008 02/04/2014,Retirement
7,Chakradhar Shri A.,Andhra Pradesh,O,03/04/1958 02/04/1964,Retirement
8,Chakravarty Smt. Bijoya,Assam,AGP,03/04/1986 02/04/1992,Retirement
9,Chaliha Shri Parag,Assam,AGP,15/06/1995 14/06/2001,"22/06/1999
Death"
10,Chaman Lall Diwan,Punjab,Congress,03/04/1952 02/04/1956,Retirement
10,Chaman Lall Diwan,Punjab,Congress,03/04/1956 02/04/1962,Retirement
10,Chaman Lall Diwan,Punjab,Congress,03/04/1962 02/04/1968,Retirement
11,Chanana Shri Charanjit,National Capital Territory of Delhi,CONG(I),03/04/1976 02/04/1982,Retirement
12,Chand Ram Shri,Haryana,CONG(I),12/03/1983 09/04/1984,Retirement
13,Chandra Shekhar Shri,Uttar Pradesh,PSP,03/04/1962 02/04/1968,Retirement
13,Chandra Shekhar Shri,Uttar Pradesh,Congress,03/04/1968 02/04/1974,Retirement
13,Chandra Shekhar Shri,Uttar Pradesh,IND.,03/04/1974 02/04/1980,"22/03/1977
Elected to Lok Sabha"
14,Chandran Shri S. S.,Tamil Nadu,AIADMK,25/07/2001 24/07/2007,Retirement
15,Chandrasekhar Smt. Maragatham,Nominated,Congress,04/03/1970 04/02/1976,Retirement
15,Chandrasekhar Smt. Maragatham,Nominated,CONG(I),04/03/1976 04/02/1982,Retirement
15,Chandrasekhar Smt. Maragatham,Nominated,CONG(I),27/09/1982 26/09/1988,"29/12/1984
Elected to Lok Sabha"
16,Chandrasekhar Dr. S.,Madras,Congress,03/04/1964 02/04/1970,Retirement
17,Chandrasekharan Shri K.,Kerala,Socialist,17/04/1967 02/04/1970,Retirement
17,Chandrasekharan Shri K.,Kerala,Socialist,03/04/1970 02/04/1976,Retirement
18,Chandrasekharappa Shri T. V.,Karnataka,CONG(I),13/07/1977 09/04/1978,Retirement
19,Chandresh Kumari Smt.,Himachal Pradesh,CONG(I),10/04/1996 09/04/2002,Retirement
20,Chanpuria Shri Shivprasad,Madhya Pradesh,BJP,10/04/1990 09/04/1996,Retirement
21,Chathunni Master Shri K.,Kerala,CPI(M),22/04/1979 21/04/1985,Retirement
22,Chatterjee Shri Arun Prakash,West Bengal,CPI(M),03/04/1966 02/04/1972,Retirement
23,Chatterjee Prof.(Smt) Asima,Nominated,NOM.,18/02/1982 13/04/1984,Retirement
23,Chatterjee Prof.(Smt) Asima,Nominated,NOM.,09/05/1984 08/05/1990,Retirement
24,Chatterjee Shri Jogesh Chandra,Uttar Pradesh,Congress,03/04/1956 02/04/1960,Retirement
24,Chatterjee Shri Jogesh Chandra,Uttar Pradesh,Congress,03/04/1960 02/04/1966,Retirement
24,Chatterjee Shri Jogesh Chandra,Uttar Pradesh,Congress,03/04/1966 02/04/1972,"28/04/1969
Death"
25,Chatterjee Shri Nirmal,West Bengal,CPI(M),03/04/1982 02/04/1988,Retirement
26,Chatterjee Shri Pranab,Bihar,JP,10/04/1978 09/04/1984,"02/06/1979
Death"
27,Chatterjee Shri Prasanta,West Bengal,CPI(M),03/04/2002 02/04/2008,Retirement
27,Chatterjee Shri Prasanta,West Bengal,CPI(M),03/04/2008 02/04/2014,Retirement
28,Chattopadhyaya Prof. D.P.,West Bengal,Congress,10/07/1969 09/07/1975,Retirement
28,Chattopadhyaya Prof. D.P.,West Bengal,CONG(I),10/07/1975 09/07/1981,Retirement
29,Chaturvedi Shri Banarsi Das,Vindhya Pradesh,Congress,03/04/1952 02/04/1958,Retirement
29,Chaturvedi Shri Banarsi Das,Madhya Pradesh,Congress,03/04/1958 02/04/1964,Retirement
30,Chaturvedi Shri Bhuvnesh,Rajasthan,CONG(I),03/04/1982 02/04/1988,Retirement
30,Chaturvedi Shri Bhuvnesh,Rajasthan,CONG(I),03/04/1988 02/04/1994,Retirement
30,Chaturvedi Shri Bhuvnesh,Rajasthan,CONG(I),03/04/1994 02/04/2000,Retirement
31,Chaturvedi Shri Lalit Kishore,Rajasthan,BJP,05/07/2004 04/07/2010,Retirement
32,Chaturvedi Shri Satyavrat,Uttarakhand,INC,03/04/2006 02/04/2012,Retirement
32,Chaturvedi Shri Satyavrat,Madhya Pradesh,INC,03/04/2012 02/04/2018,Retirement
33,Chaturvedi Shri T.N.,Uttar Pradesh,BJP,05/07/1992 04/07/1998,Retirement
33,Chaturvedi Shri T.N.,Uttar Pradesh,BJP,05/07/1998 04/07/2004,"20/08/2002
Resignation"
34,Chaturvedi Smt. Vidyawati,Madhya Pradesh,Congress,03/04/1966 02/04/1972,Retirement
34,Chaturvedi Smt. Vidyawati,Madhya Pradesh,CONG(I),10/04/1972 09/04/1978,Retirement
35,Chaudhari Shri N.P.,Madhya Pradesh,Congress,03/04/1968 02/04/1974,Retirement
35,Chaudhari Shri N.P.,Madhya Pradesh,CONG(I),03/04/1974 02/04/1980,Retirement
36,Chaudhary Shri Ganeshi Lal,Uttar Pradesh,CONG(O),03/04/1968 02/04/1974,Retirement
37,Chaudhuri Shri Tridib,West Bengal,RSP,10/07/1987 09/07/1993,Retirement
37,Chaudhuri Shri Tridib,West Bengal,RSP,19/08/1993 18/08/1999,"21/12/1997
Death"
38,Chaudhury Shri Mahendramohan,Assam,Congress,01/12/1956 30/11/1962,"09/04/1958
Resignation"
38,Chaudhury Shri Mahendramohan,Assam,Congress,19/06/1972 02/04/1974,Retirement
39,Chauhan Shri Dara Singh,Uttar Pradesh,BSP,30/11/1996 02/04/2000,"02/04/2002
Retirement"
39,Chauhan Shri Dara Singh,Uttar Pradesh,SP,03/04/2000 02/04/2006,Retirement
40,Chauhan Shri Nawab Singh,Uttar Pradesh,Congress,03/04/1952 02/04/1958,Retirement
40,Chauhan Shri Nawab Singh,Uttar Pradesh,Congress,03/04/1958 02/04/1964,"21/06/1963
Resignation"
41,Chaurasia Shri Shiv Dayal Singh,Uttar Pradesh,CONG(I),03/04/1974 02/04/1980,Retirement
42,Chautala Shri Ajay Singh,Haryana,INLD,02/08/2004 01/08/2010,"03/11/2009
Resignation"
43,Chautala Shri Om Prakash,Haryana,JD,14/08/1987 09/04/1990,Retirement
44,Chavan Smt. Premilabai Dajisaheb,Maharashtra,CONG(I),05/07/1980 04/07/1986,"28/12/1984
Elected to Lok Sabha"
45,Chavan Shri Prithviraj,Maharashtra,INC,03/04/2002 02/04/2008,Retirement
45,Chavan Shri Prithviraj,Maharashtra,INC,03/04/2008 02/04/2014,"06/05/2011
Resignation"
46,Chavan Shri S.B.,Maharashtra,CONG(I),28/10/1988 02/04/1990,"02/04/1990
Retirement"
46,Chavan Shri S.B.,Maharashtra,CONG(I),03/04/1990 02/04/1996,Retirement
46,Chavan Shri S.B.,Maharashtra,INC,03/04/1996 02/04/2002,Retirement
47,Chavan Shri Vasant,Maharashtra,NCP,25/04/2005 02/04/2006,Retirement
47,Chavan Shri Vasant,Maharashtra,NCP,03/04/2006 02/04/2012,"11/07/2006
Death"
48,Chavan Shri Y. B.,Maharashtra,Congress,21/02/1963 20/02/1969,"21/12/1963
Elected to Lok Sabha"
49,Chavda Shri Khemchandbhai Shomabhai,Gujarat,Congress,13/08/1960 02/04/1966,Resignation
49,Chavda Shri Khemchandbhai Shomabhai,Gujarat,Congress,03/04/1966 02/04/1972,"10/03/1971
Elected to Lok Sabha"
50,Chellappa Shri V. Rajan,Tamil Nadu,AIADMK,30/06/1992 29/06/1998,Retirement
51,Chengalvaroyan Shri T.,Tamil Nadu,Congress,09/08/1963 02/04/1966,Retirement
51,Chengalvaroyan Shri T.,Tamil Nadu,CONG(O),03/04/1966 02/04/1972,Retirement
52,Chetia Shri Purnananda,Assam,Congress,03/04/1964 02/04/1970,Retirement
53,Chettiar Shri T.S.Avinashlingam,Tamil Nadu,Congress,03/04/1958 02/04/1964,Retirement
54,Chettri Shri Krishna Bahadur,West Bengal,Congress,03/04/1972 02/04/1978,"22/03/1977
Elected to Lok Sabha"
55,Chettry Smt. Maya Devi,West Bengal,Congress,03/04/1952 02/04/1958,Retirement
55,Chettry Smt. Maya Devi,West Bengal,Congress,03/04/1958 02/04/1964,Retirement
56,Chinai Shri Babubhai Maneklal,Bombay,IND.,03/04/1958 02/04/1964,Retirement
56,Chinai Shri Babubhai Maneklal,Bombay,CONG(O),03/04/1964 02/04/1970,Retirement
56,Chinai Shri Babubhai Maneklal,Bombay,IND.,03/04/1970 02/04/1976,"04/07/1975
Death"
57,Chiranjeevi Dr. K.,Andhra Pradesh,INC,03/04/2012 02/04/2018,Retirement
58,Chitharanjan Shri J.,Kerala,CPI,22/04/1997 21/04/2003,Retirement
59,Chordia Shri Vimal Kumar Mannalalji,Madhya Pradesh,JS,03/04/1962 02/04/1968,Retirement
60,Choudhury Shri Nripati Ranjan,Assam,Congress,10/04/1972 09/04/1978,Retirement
61,Chowdhary Dr. Chandramanilal,Bihar,Congress,03/04/1974 02/04/1980,"08/02/1979
Death"
62,Chowdhary Shri Hari Singh,Uttar Pradesh,CONG(I),03/04/1988 02/04/1994,Retirement
63,Chowdhary Shri Ram Sewak,Uttar Pradesh,CONG(I),05/07/1980 04/07/1986,Retirement
63,Chowdhary Shri Ram Sewak,Uttar Pradesh,CONG(I),05/07/1986 04/07/1992,Retirement
64,Chowdhri Shri A. S.,Andhra Pradesh,IND.,10/04/1972 09/04/1978,Retirement
64,Chowdhri Shri A. S.,Andhra Pradesh,CONG(I),03/04/1980 02/04/1986,Retirement
64,Chowdhri Shri A. S.,Andhra Pradesh,CONG(I),03/04/1992 02/04/1998,Retirement
65,Chowdhury Prof. Jogen,West Bengal,AITC,03/04/2014 02/04/2020,Retirement
66,Chowdhury Smt. Renuka,Andhra Pradesh,TDP,03/04/1986 02/04/1992,Retirement
66,Chowdhury Smt. Renuka,Andhra Pradesh,TDP,03/04/1992 02/04/1998,Retirement
66,Chowdhury Smt. Renuka,Andhra Pradesh,INC,03/04/2012 02/04/2018,Retirement
67,Chundawat Smt. Lakshmi Kumari,Rajasthan,CONG(I),10/04/1972 09/04/1978,Retirement
68,Chunni Lal Chaudhary,Uttar Pradesh,BJP,26/11/1996 25/11/2002,"03/12/2000
Death"
69,Condpan Shri Silvius,Assam,INC,03/04/2004 02/04/2010,Retirement
69,Condpan Shri Silvius,Assam,INC,03/04/2010 02/04/2016,"10/10/2011
Death"
1,Habibullah Smt. Hamida,Uttar Pradesh,CONG(I),03/04/1976 02/04/1982,Retirement
2,Hagjer Shri Joy Bhadra,Assam,Congress,03/04/1958 02/04/1964,"17/03/1962
Resignation"
3,Haji Shri Korambayil Ahammed,Kerala,ML,03/04/1998 02/04/2004,"12/05/2003
Death"
4,Hakim Ali Khawja,Jammu & Kashmir,O,22/08/1961 02/04/1962,Retirement
5,Hamdard Shri Barjinder Singh,Punjab,IND.,10/04/1998 09/04/2004,"21/12/2000
Seat declared vacant"
6,Handique Shri Bijoy Krishna,Assam,CONG(I),03/04/1980 02/04/1986,Retirement
7,Haneef Shri Mahammed,Odisha,Congress,03/04/1966 02/04/1972,"06/10/1967
Death"
8,Hans Raj Raizada,Punjab,Congress,03/04/1952 19/08/1952,"29/08/1952
Resignation"
8,Hans Raj Raizada,Punjab,Congress,17/03/1953 02/04/1958,Retirement
9,Hansda Shri Phanindra Nath,West Bengal,Congress,03/04/1976 02/04/1982,Retirement
10,Hanspal Shri Harvendra Singh,Punjab,CONG(I),05/07/1980 04/07/1986,Retirement
10,Hanspal Shri Harvendra Singh,Punjab,CONG(I),05/07/1986 04/07/1992,Retirement
11,Hanumanthappa Shri H.,Karnataka,CONG(I),03/04/1982 02/04/1988,Retirement
11,Hanumanthappa Shri H.,Karnataka,CONG(I),03/04/1988 02/04/1994,Retirement
11,Hanumanthappa Shri H.,Karnataka,CONG(I),03/04/1994 02/04/2000,Retirement
12,Haq Molana Asrarul,Rajasthan,CONG(I),05/07/1980 04/07/1986,Retirement
13,Hardikar Dr. N.S.,Bombay,Congress,07/08/1952 02/04/1956,Retirement
13,Hardikar Dr. N.S.,Mysore,Congress,03/04/1956 02/04/1962,Retirement
14,Haridas Shri C.,Kerala,INC,03/04/1980 02/04/1986,Retirement
15,Hasan Shri Munavvar,Uttar Pradesh,SP,05/07/1998 04/07/2004,"27/01/2004
Resignation"
16,Hashim Shri M.M.,Andhra Pradesh,CONG(I),10/04/1990 09/04/1996,Retirement
17,Hashmi Shri Parvez,National Capital Territory of Delhi,INC,04/08/2009 27/01/2012,Retirement
17,Hashmi Shri Parvez,National Capital Territory of Delhi,INC,28/01/2012 27/01/2018,Retirement
18,Hashmi Shri Shamim,Bihar,JD,03/04/1988 02/04/1994,"28/07/1989
Resignation"
18,Hashmi Shri Shamim,Bihar,CONG(I),25/09/1989 02/04/1994,Retirement
19,Hashmi Shri Syed Ahmad,Uttar Pradesh,Congress,04/03/1974 04/02/1980,Retirement
19,Hashmi Shri Syed Ahmad,Uttar Pradesh,LD,05/07/1980 04/07/1986,Retirement
20,Hassan Shri Ahamed,West Bengal,AITC,03/04/2014 02/04/2020,Retirement
21,Hathi Shri Jai Sukh Lal,Saurashtra,Congress,03/04/1952 02/04/1958,12/03/57
21,Hathi Shri Jai Sukh Lal,Saurashtra,Congress,03/04/1962 02/04/1968,Retirement
21,Hathi Shri Jai Sukh Lal,Saurashtra,Congress,03/04/1968 02/04/1974,Retirement
22,Havanur Shri L.G.,Karnataka,CONG(I),13/07/1977 09/04/1978,Retirement
23,Heerachand Shri D.,Tamil Nadu,AIADMK,30/06/1980 29/06/1986,Retirement
24,Hegde Shri K.S.,Madras,Congress,03/04/1952 02/04/1954,Retirement
24,Hegde Shri K.S.,Madras,Congress,03/04/1954 02/04/1960,"21/08/1957
Resignation"
25,Hegde Shri Ramakrishna,Karnataka,JP,10/04/1978 09/04/1984,"23/05/1983
Resignation"
25,Hegde Shri Ramakrishna,Karnataka,JP,10/04/1996 09/04/2002,Retirement
26,Hema Malini Smt.,Nominated,BJP,27/08/2003 26/08/2009,Retirement
26,Hema Malini Smt.,Karnataka,BJP,04/03/2011 02/04/2012,Retirement
27,Hembram Smt. Sarojini,Odisha,BJD,03/04/2014 02/04/2020,Retirement
28,Hemrom Shri Sunder Mohan,Odisha,Congress,03/04/1952 02/04/1956,Retirement
29,Hensman Smt. Mona,Madras,Congress,03/04/1952 02/04/1956,Retirement
30,Heptulla Dr. Najma A.,Maharashtra,CONG(I),05/07/1980 04/07/1986,Retirement
30,Heptulla Dr. Najma A.,Maharashtra,CONG(I),05/07/1986 04/07/1992,"04/07/1992
Retirement"
30,Heptulla Dr. Najma A.,Maharashtra,CONG(I),05/07/1992 04/07/1998,Retirement
30,Heptulla Dr. Najma A.,Maharashtra,INC,05/07/1998 04/07/2004,"10/06/2004
Resignation"
30,Heptulla Dr. Najma A.,Rajasthan,BJP,05/07/2004 04/07/2010,Retirement
30,Heptulla Dr. Najma A.,Madhya Pradesh,BJP,03/04/2012 02/04/2018,"20/08/2016
Resignation"
31,Himatsingka Shri P.D.,West Bengal,Congress,03/04/1956 02/04/1962,"01/03/1962
Elected to Lok Sabha"
32,Himmat Sinh Shri,Gujarat,Congress,10/04/1972 09/04/1978,Retirement
33,Hiphei Shri,Mizoram,CONG(I),17/07/1990 16/07/1996,Retirement
33,Hiphei Shri,Mizoram,CONG(I),17/07/1996 16/07/2002,Retirement
34,Husain Shri Jabir,Bihar,RJD,03/04/2006 02/04/2012,Retirement
35,Husain Shri M.F.,Nominated,NOM.,12/05/1986 11/05/1992,Retirement
1,Ibrahim Shri B.,Karnataka,CONG(I),25/03/1980 09/04/1984,Retirement
2,Ibrahim Shri C.M.,Karnataka,JD,10/04/1996 09/04/2002,Retirement
3,Ibrahim Hafiz Mohammad,Uttar Pradesh,Congress,18/08/1958 02/04/1962,Retirement
3,Ibrahim Hafiz Mohammad,Uttar Pradesh,Congress,03/04/1962 02/04/1968,"04/05/1964
Resignation"
4,Imam Smt. Aziza,Bihar,Congress,20/03/1973 02/04/1976,Retirement
4,Imam Smt. Aziza,Bihar,Congress,03/04/1976 02/04/1982,Retirement
5,Imam Shri Jafar,Bihar,INC,03/04/1952 02/04/1956,Retirement
6,Imbichibava Shri E.K.,Madras,CPI,03/04/1952 02/04/1954,Retirement
7,Imti Shri T. Aliba,Nagaland,UDF(N),03/04/1980 02/04/1986,Retirement
8,Inaitullah Khawaja,Bihar,Congress,03/04/1952 02/04/1954,Retirement
9,Inder Singh Shri,Uttar Pradesh,Congress,03/04/1970 02/04/1976,Retirement
10,Indira Smt. S. G.,Tamil Nadu,AIADMK,25/07/2001 24/07/2007,Retirement
11,Indra Vidyavachaspati Shri,Uttar Pradesh,Congress,03/04/1952 02/04/1958,Retirement
12,Iqbal Singh Shri,Punjab,CONG(I),10/04/1992 09/04/1998,Retirement
13,Irani Smt. Smriti Zubin,Gujarat,BJP,19/08/2011 18/08/2017,Retirement
13,Irani Smt. Smriti Zubin,Gujarat,BJP,19/08/2017 18/08/2023,"24/05/2019
Elected to Lok Sabha"
14,Ishaque Shri Muhammad,West Bengal,Congress,29/12/1961 02/04/1964,Retirement
14,Ishaque Shri Muhammad,West Bengal,Congress,03/04/1964 02/04/1970,Retirement
15,Ismail Smt. Fathema,Nominated,NOM.,14/04/1978 13/04/1984,Retirement
16,Ismail Shri K.E.,Kerala,CPI,02/07/2006 01/07/2012,Retirement
17,Ismail Saheb Shri M. Muhammad,Others,ML,03/04/1952 02/04/1958,Retirement
18,Italia Shri Dinshaw D.,Andhra Pradesh,INC,03/04/1952 02/04/1956,Retirement
19,Iyer Shri N. Ramakrishna,Others,IND.,22/04/1957 02/04/1960,Retirement
19,Iyer Shri N. Ramakrishna,Others,IND.,03/04/1960 02/04/1966,Retirement
19,Iyer Shri N. Ramakrishna,Others,IND.,03/04/1966 02/04/1972,Retirement
1,Jacob Shri M.M.,Kerala,CONG(I),02/07/1982 01/07/1988,Retirement
1,Jacob Shri M.M.,Kerala,CONG(I),02/07/1988 01/07/1994,Retirement
2,Jadhav Shri D.K.,Madhya Pradesh,O,25/03/1969 02/04/1970,Retirement
3,Jadhav Shri Pandurang Dharmaji,Nominated,NOM.,14/04/1978 13/04/1984,Retirement
4,Jadhav Shri Vithalrao Madhavrao,Maharashtra,CONG(I),03/04/1982 02/04/1988,Retirement
4,Jadhav Shri Vithalrao Madhavrao,Maharashtra,CONG(I),03/04/1988 02/04/1994,Retirement
5,Jagarlamudi Shri Chandramouli,Andhra Pradesh,Swatantra,03/04/1968 02/04/1974,Retirement
6,Jagat Narain Shri,Haryana,BKD,03/04/1964 02/04/1970,Retirement
7,Jagatpal Singh Thakur,Madhya Pradesh,INC,10/04/1984 09/04/1990,Retirement
8,Jagbir Singh Shri,Uttar Pradesh,JLD,03/04/1974 02/04/1980,Retirement
9,Jagir Singh Shri,Punjab,CONG(I),10/04/1992 09/04/1998,Retirement
10,Jagmohan Shri,Nominated,NOM.,28/05/1990 27/05/1996,"09/05/1996
Elected to Lok Sabha"
11,Jain Shri Ajit Prasad,Uttar Pradesh,Congress,03/04/1968 02/04/1974,Retirement
12,Jain Smt. Chandrika Abhinandan,Maharashtra,CONG(I),03/04/1990 02/04/1996,Retirement
13,Jain Shri Dharamchand,Bihar,Congress,03/04/1970 02/04/1976,Retirement
13,Jain Shri Dharamchand,Bihar,CONG(I),03/04/1976 02/04/1982,Retirement
14,Jain Shri Ishwarlal Shankarlal,Maharashtra,NCP,05/07/2010 04/07/2016,Retirement
15,Jain Shri J.K.,Madhya Pradesh,BJP,30/06/1980 29/06/1986,Retirement
16,Jain Dr. Jinendra Kumar,Madhya Pradesh,BJP,23/03/1990 02/04/1994,Retirement
17,Jain Shri Meghraj,Madhya Pradesh,BJP,06/05/2011 02/04/2012,Retirement
17,Jain Shri Meghraj,Madhya Pradesh,BJP,15/09/2014 02/04/2018,Retirement
18,Jain Shri Rajendra Prasad,Jammu & Kashmir,CONG(I),03/04/1988 02/04/1994,"27/11/1989
Elected to Lok Sabha"
19,Jain Shri Rattan Lal,Punjab,INC,03/04/1968 02/04/1974,Retirement
20,Jain Shri Shriyans Prasad,Bombay,Congress,03/04/1952 02/04/1954,Retirement
20,Jain Shri Shriyans Prasad,Bombay,Congress,03/04/1954 02/04/1958,Retirement
21,Jaipuria Shri Sitaram,Uttar Pradesh,IND.,03/04/1962 02/04/1968,Retirement
21,Jaipuria Shri Sitaram,Uttar Pradesh,IND.,03/04/1968 02/04/1974,Retirement
22,Jairamdas Daulatram Shri,Nominated,NOM.,19/10/1959 02/04/1964,Retirement
22,Jairamdas Daulatram Shri,Nominated,NOM.,03/04/1964 02/04/1970,Retirement
22,Jairamdas Daulatram Shri,Nominated,NOM.,03/04/1970 02/04/1976,Retirement
23,Jaiswal Shri Anant Ram,Uttar Pradesh,JD(S),03/04/1990 02/04/1996,Retirement
24,Jaitley Shri Arun,Gujarat,BJP,03/04/2000 02/04/2006,Retirement
24,Jaitley Shri Arun,Gujarat,BJP,03/04/2006 02/04/2012,Retirement
24,Jaitley Shri Arun,Gujarat,BJP,03/04/2012 02/04/2018,Retirement
24,Jaitley Shri Arun,Uttar Pradesh,BJP,03/04/2018 02/04/2024,"24/08/2019
Death"
25,Jalali Shri Syed Mohammad,Jammu & Kashmir,J&KNC,03/04/1952 02/04/1956,Retirement
25,Jalali Shri Syed Mohammad,Jammu & Kashmir,J&KNC,03/04/1956 02/04/1962,"22/02/1961
Death"
26,Jalan Dr. Bimal,Nominated,NOM.,27/08/2003 26/08/2009,Retirement
27,Jamir Shri C. Apok,Nagaland,INC,03/04/1998 02/04/2004,Retirement
28,Jamir Shri S.C.,Nagaland,CONG(I),02/07/1987 02/04/1992,"02/02/1989
Resignation"
29,Jamuda Shri Durga Prasad,Bihar,CONG(I),10/04/1984 09/04/1990,Retirement
30,Jamuna Devi Smt.,Madhya Pradesh,JAN,10/04/1978 02/04/1980,Retirement
31,Janardhanam Shri A.P.,Tamil Nadu,AIADMK,25/07/1977 24/07/1983,Retirement
32,Jangde Dr. Bhushan Lal,Chhattisgarh,BJP,03/04/2012 02/04/2018,Retirement
33,Jani Shri Jagadish,Odisha,CONG(I),02/07/1980 01/07/1986,Retirement
33,Jani Shri Jagadish,Odisha,CONG(I),02/07/1986 01/07/1992,Retirement
34,Jatiya Dr. Satyanarayan,Madhya Pradesh,BJP,10/04/2014 09/04/2020,Retirement
35,Javali Shri J.P.,Karnataka,JD,03/04/1988 02/04/1994,Retirement
36,Jayadevappa Shri K.R.,Karnataka,CONG(I),03/04/1992 02/04/1998,Retirement
37,Jayalalitha Jayaram Ms.,Tamil Nadu,AIADMK,03/04/1984 02/04/1990,"28/01/1989
Resignation"
38,Jayashree Smt. B.,Nominated,NOM.,22/03/2010 21/03/2016,Retirement
39,Jethmalani Shri Ram,Karnataka,JD,03/04/1988 02/04/1994,Retirement
39,Jethmalani Shri Ram,Maharashtra,IND.,03/04/1994 02/04/2000,Retirement
39,Jethmalani Shri Ram,Maharashtra,IND.,03/04/2000 02/04/2006,Retirement
39,Jethmalani Shri Ram,Nominated,NOM.,10/04/2006 26/08/2009,Retirement
39,Jethmalani Shri Ram,Rajasthan,IND.,05/07/2010 04/07/2016,"08/06/2016
Resignation"
39,Jethmalani Shri Ram,Bihar,RJD,08/07/2016 07/07/2022,"08/09/2019
Death"
40,Jha Shri Kamalnath,Bihar,Congress,20/03/1973 02/04/1974,Retirement
40,Jha Shri Kamalnath,Bihar,CONG(I),03/04/1974 02/04/1980,"09/01/1980
Elected to Lok Sabha"
41,Jha Shri Lakshmi Kant,Bihar,Congress,07/07/1986 06/07/1992,"16/01/1988
Death"
42,Jha Shri Prabhat,Madhya Pradesh,BJP,10/04/2008 09/04/2014,Retirement
42,Jha Shri Prabhat,Madhya Pradesh,BJP,10/04/2014 09/04/2020,Retirement
43,Jha Shri Rudra Narain,Bihar,SSP,03/04/1968 02/04/1974,"10/05/1971
Death"
44,Jha Shri Shiva Chandra,Bihar,JAN,10/04/1978 09/04/1984,Retirement
45,Jichkar Dr. Shrikant Ramchandra,Maharashtra,CONG(I),05/07/1992 04/07/1998,Retirement
46,Jinnah Shri A.A.,Tamil Nadu,DMK,03/04/2008 02/04/2014,Retirement
47,Jitendra Prasada Shri,Uttar Pradesh,CONG(I),03/04/1994 02/04/2000,"07/10/1999
Elected to Lok Sabha"
48,Jogendra Singh Shri,Uttar Pradesh,Congress,11/12/1963 02/04/1966,Retirement
48,Jogendra Singh Shri,Uttar Pradesh,Congress,03/04/1966 02/04/1972,"20/09/1971
Resignation"
49,Jogi Shri Ajit P.K.,Madhya Pradesh,CONG(I),30/06/1986 29/06/1992,Retirement
49,Jogi Shri Ajit P.K.,Madhya Pradesh,CONG(I),30/06/1992 29/06/1998,"03/03/1998
Elected to Lok Sabha"
50,John Shri Michael,Bihar,Congress,03/04/1956 02/04/1962,Retirement
51,John Shri Valampuri,Tamil Nadu,Congress,03/04/1974 02/04/1980,"14/10/1974
Disqualification"
51,John Shri Valampuri,Tamil Nadu,AIADMK,03/04/1984 02/04/1990,Retirement
52,Jois Shri M. Rama,Karnataka,BJP,26/06/2008 25/06/2014,Retirement
53,Joseph Shri Nuthalapati,Andhra Pradesh,Congress,30/03/1972 02/04/1974,Retirement
54,Joseph Shri O. J.,Kerala,CPI(M),03/04/1980 02/04/1986,Retirement
55,Joshi Shri Jagannathrao,National Capital Territory of Delhi,BJP,03/04/1978 02/04/1984,Retirement
56,Joshi Shri Jagdish,Madhya Pradesh,INC,03/04/1974 02/04/1980,Retirement
57,Joshi Shri Jethalal Harikrishna,Bombay,Congress,22/04/1957 02/04/1960,Retirement
57,Joshi Shri Jethalal Harikrishna,Bombay,Congress,03/04/1960 02/04/1966,Retirement
58,Joshi Shri Kailash,Madhya Pradesh,BJP,03/04/2000 02/04/2006,"13/05/2004
Elected to Lok Sabha"
59,Joshi Shri Krishna Nand,Uttar Pradesh,Congress,03/04/1976 02/04/1982,Retirement
59,Joshi Shri Krishna Nand,Uttar Pradesh,CONG(I),03/04/1982 02/04/1988,Retirement
