s_no,member_name,state,party,term,vacate_reason
38,Ahluwalia Shri S.S.,Jharkhand,BJP,03/04/2006 02/04/2012,Retirement
38,Ahluwalia Shri S.S.,Bihar,BJP,03/04/2000 14/11/2000,Reorganisation of the State
39,Ahmad Shri Wasim,Uttar Pradesh,IND.,30/11/1996 04/07/1998,Retirement
40,Ahmad Dr. Z.A.,Uttar Pradesh,CPI,03/04/1958 02/04/1964,"19/03/1962
Resignation"
40,Ahmad Dr. Z.A.,Uttar Pradesh,CPI,03/04/1966 02/04/1972,Retirement
40,Ahmad Dr. Z.A.,Uttar Pradesh,CPI,03/04/1972 02/04/1978,Retirement
40,Ahmad Dr. Z.A.,Uttar Pradesh,CPI,23/08/1990 02/04/1994,Retirement
41,Ahmad Hussain Kazi,Bihar,Congress,03/04/1952 02/04/1958,Retirement
41,Ahmad Hussain Kazi,Bihar,Congress,03/04/1958 02/04/1964,"29/07/1961
Death"
42,Ahmed Shri Fakhruddin Ali,Assam,Congress,03/04/1954 02/04/1960,"25/03/1957
Resignation"
42,Ahmed Shri Fakhruddin Ali,Assam,Congress,03/04/1966 02/04/1972,"25/02/1967
Elected to Lok Sabha"
43,Ahmed Shri Sk. Khabir Uddin,West Bengal,CPI(M),03/04/2002 02/04/2008,Retirement
44,Aiyar Shri Mani Shankar,Nominated,INC,22/03/2010 21/03/2016,Retirement
45,Aizaz Rasul Begum,Uttar Pradesh,Congress,03/04/1952 02/04/1956,Retirement
46,Ajit Singh Shri,Uttar Pradesh,JD,05/07/1986 04/07/1992,"27/11/1989
Elected to Lok Sabha"
47,Ajmal Khan Shri M.,Nominated,NOM.,31/03/1964 02/04/1966,Retirement
47,Ajmal Khan Shri M.,Nominated,NOM.,03/04/1966 02/04/1972,"18/10/1969
Death"
48,Akarapu Shri Sudarshan,Andhra Pradesh,TDP,10/04/2002 09/04/2008,Retirement
49,Akarte Shri Jagannath Sitaram,Maharashtra,CONG(I),05/07/1980 04/07/1986,Retirement
50,Akhtar Shri Javed,Nominated,NOM.,22/03/2010 21/03/2016,Retirement
51,Akhtar Shri Kamal,Uttar Pradesh,SP,05/07/2004 04/07/2010,Retirement
52,Akhtar Hussain Shri,Uttar Pradesh,Congress,03/04/1952 02/04/1956,Retirement
52,Akhtar Hussain Shri,Uttar Pradesh,Congress,03/04/1956 02/04/1962,Retirement
53,Aladi Aruna Shri V. Arunachalam alias,Tamil Nadu,AIADMK,25/07/1983 24/07/1989,Retirement
54,Alagh Shri Yoginder K.,Gujarat,IND.,26/11/1996 02/04/2000,Retirement
55,Alexander Dr. P. C.,Maharashtra,IND.,29/07/2002 02/04/2008,Retirement
56,Ali Dr. Ejaz,Bihar,JD(U),20/03/2008 07/07/2010,Retirement
57,Ali Shri Munquad,Uttar Pradesh,BSP,03/04/2006 02/04/2012,Retirement
57,Ali Shri Munquad,Uttar Pradesh,BSP,03/04/2012 02/04/2018,Retirement
58,Ali Shri Sabir,Bihar,LJP,10/04/2008 09/04/2014,"15/11/2011
Resignation"
58,Ali Shri Sabir,Bihar,JD(U),16/12/2011 09/04/2014,Retirement
59,Ali Shri Syed Rahmat,Andhra Pradesh,CONG(I),03/04/1980 02/04/1986,Retirement
60,Alia Kumari,Uttar Pradesh,CONG(I),11/10/1989 04/07/1992,Retirement
61,Alphonse Shri S.Peter,Tamil Nadu,CONG(I),03/04/1996 02/04/2002,"09/09/1997
Resignation"
61,Alphonse Shri S.Peter,Tamil Nadu,TMC(M),10/10/1997 02/04/2002,Retirement
62,Alva Shri Joachim,Nominated,Congress,03/04/1968 02/04/1974,Retirement
63,Alva Dr. K. Nagappa,Karnataka,CONG(O),03/04/1970 02/04/1976,Retirement
64,Alva Smt. Margaret,Karnataka,CONG(I),03/04/1974 02/04/1980,Retirement
64,Alva Smt. Margaret,Karnataka,CONG(I),03/04/1980 02/04/1986,Retirement
64,Alva Smt. Margaret,Karnataka,CONG(I),03/04/1986 02/04/1992,Retirement
64,Alva Smt. Margaret,Karnataka,CONG(I),03/04/1992 02/04/1998,Retirement
65,Alva Smt. Violet,Bombay,Congress,03/04/1952 02/04/1960,Retirement
65,Alva Smt. Violet,Bombay,Congress,03/04/1960 02/04/1966,Retirement
65,Alva Smt. Violet,Mysore,Congress,03/04/1966 02/04/1972,"20/11/1969
Death"
66,Alvi Shri Raashid,Andhra Pradesh,INC,22/06/2004 02/04/2006,Retirement
66,Alvi Shri Raashid,Andhra Pradesh,INC,03/04/2006 02/04/2012,Retirement
67,Amarjit Kaur Smt.,Punjab,CONG(I),03/04/1976 02/04/1982,Retirement
67,Amarjit Kaur Smt.,Punjab,CONG(I),03/04/1982 02/04/1988,Retirement
68,Amat Shri Debananda,Odisha,Congress,06/03/1973 02/04/1974,Retirement
69,Ambani Shri Anil Dhirubhai,Uttar Pradesh,IND.,04/07/2010 29/03/2006,"29/03/2006
Resignation"
70,Ambedkar Shri B.R.,Bombay,SCF,03/04/1952 02/04/1956,Retirement
70,Ambedkar Shri B.R.,Bombay,SCF,03/04/1956 02/04/1962,"06/12/1956
Death"
71,Ambedkar Shri Prakash Yashwant,Nominated,NOM.,18/09/1990 17/09/1996,Retirement
72,Amin Shri Mohammed,West Bengal,CPI(M),03/04/1988 02/04/1994,Retirement
72,Amin Shri Mohammed,West Bengal,CPI(M),17/05/2007 18/08/2011,Retirement
